epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,260.116,1.40268,2.41636,1.73131,0.51438,0.39993,0.50084,0.26895,1.51237,2.95691,2.2587,0.000547118,0.000547118,0.000547118
2,512.39,1.37587,1.82981,1.67505,0.3664,0.40685,0.37192,0.15553,1.81054,3.22732,2.48804,0.00106639,0.00106639,0.00106639
3,759.846,1.40675,1.7015,1.688,0.71949,0.58778,0.66069,0.29494,1.67374,2.95167,2.36728,0.00154899,0.00154899,0.00154899
4,982.806,1.42738,1.60316,1.68303,0.78308,0.31773,0.42987,0.20296,1.64213,2.95154,2.41898,0.00150197,0.00150197,0.00150197
5,1165.11,1.39183,1.4472,1.64889,0.69468,0.64277,0.70242,0.36198,1.68034,1.80916,2.13408,0.00144696,0.00144696,0.00144696
6,1341.82,1.37062,1.40884,1.63378,0.85248,0.74876,0.8251,0.4328,1.61456,1.3268,2.04918,0.00139195,0.00139195,0.00139195
7,1511.9,1.35373,1.3847,1.62857,0.84875,0.71345,0.80176,0.46903,1.38385,1.37138,1.84946,0.00133693,0.00133693,0.00133693
8,1687.31,1.31251,1.27614,1.59201,0.84404,0.72076,0.80845,0.47984,1.45869,1.19622,2.02178,0.00128192,0.00128192,0.00128192
9,1863.95,1.2975,1.20298,1.577,0.82425,0.70041,0.80402,0.48559,1.39532,1.1607,1.82459,0.00122691,0.00122691,0.00122691
10,2039.55,1.32117,1.23925,1.5898,0.78911,0.77432,0.84148,0.48601,1.6063,1.41698,1.99164,0.0011719,0.0011719,0.0011719
11,2212.73,1.27254,1.17572,1.56301,0.81571,0.77185,0.81381,0.46681,1.42239,1.56293,1.855,0.00111689,0.00111689,0.00111689
12,2387.74,1.25049,1.12864,1.54129,0.88592,0.70041,0.80617,0.48144,1.3568,1.1205,1.81518,0.00106188,0.00106188,0.00106188
13,2562.99,1.25289,1.13691,1.53652,0.79222,0.70109,0.78548,0.49661,1.26169,1.13339,1.76618,0.00100687,0.00100687,0.00100687
14,2733.35,1.19619,1.06307,1.49085,0.86542,0.75807,0.84461,0.49528,1.36488,0.96702,1.80825,0.000951857,0.000951857,0.000951857
15,2898.06,1.23949,1.07535,1.52968,0.84322,0.78737,0.84876,0.51943,1.3284,1.04838,1.7211,0.000896846,0.000896846,0.000896846
16,3062.13,1.19411,1.05861,1.49602,0.89459,0.75925,0.84081,0.55295,1.14632,0.93939,1.67231,0.000841835,0.000841835,0.000841835
17,3224.08,1.18664,1.0106,1.50166,0.86068,0.77158,0.85255,0.5458,1.25785,0.93858,1.7144,0.000786824,0.000786824,0.000786824
18,3396.91,1.19443,1.02776,1.47451,0.83094,0.7981,0.85697,0.53222,1.26886,0.90302,1.67917,0.000731813,0.000731813,0.000731813
19,3568.2,1.1731,1.01795,1.47071,0.81959,0.75005,0.84133,0.53449,1.15377,1.01949,1.64551,0.000676802,0.000676802,0.000676802
20,3735.87,1.14804,0.99792,1.46759,0.87698,0.76766,0.85635,0.56116,1.14789,0.82886,1.62869,0.000621791,0.000621791,0.000621791
21,3901.82,1.08362,0.93834,1.54184,0.88152,0.73492,0.85493,0.55072,1.0665,0.94658,1.60193,0.00056678,0.00056678,0.00056678
22,4066.66,1.0639,0.86712,1.51402,0.88531,0.78606,0.87281,0.58316,1.0257,0.77616,1.49628,0.000511769,0.000511769,0.000511769
23,4230.95,1.04639,0.82297,1.50112,0.87554,0.77376,0.87425,0.55425,1.04158,0.79654,1.52737,0.000456758,0.000456758,0.000456758
24,4396.68,1.03187,0.79163,1.48345,0.88228,0.80637,0.89572,0.58965,1.02984,0.74002,1.5058,0.000401747,0.000401747,0.000401747
25,4562.53,1.00682,0.78859,1.46708,0.89954,0.7982,0.89388,0.5881,1.03924,0.7911,1.51478,0.000346736,0.000346736,0.000346736
26,4725.7,0.98172,0.75021,1.44368,0.93848,0.77569,0.89776,0.60001,1.05275,0.72469,1.52143,0.000291725,0.000291725,0.000291725
27,4888.41,0.97727,0.73795,1.42907,0.85197,0.80364,0.88052,0.59896,0.99448,0.76073,1.49283,0.000236714,0.000236714,0.000236714
28,5050.77,0.94762,0.70757,1.40058,0.9107,0.79122,0.89825,0.59867,0.96444,0.70507,1.45591,0.000181703,0.000181703,0.000181703
29,5212.75,0.93243,0.70545,1.39637,0.9047,0.82015,0.90393,0.6079,1.00074,0.71926,1.46767,0.000126692,0.000126692,0.000126692
30,5376.42,0.93554,0.68487,1.38824,0.85507,0.83265,0.90329,0.6096,0.98665,0.70079,1.45619,7.1681e-05,7.1681e-05,7.1681e-05
